url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
36,14,11,0,1,1,0,0,4,0,0,0,0,0.0,0.8056,4.2601,3.3788,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
28,13,2,0,3,0,0,0,3,0,0,0,0,0.5357,0.1786,3.6726,2.4493,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
27,13,7,0,4,0,0,0,3,0,0,0,0,0.3704,0.3333,3.8101,2.6612,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
25,13,5,0,4,0,0,0,3,0,0,0,0,0.44,0.24,3.7035,3.027,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
42,6,24,0,1,2,0,0,4,0,0,0,0,0.0952,0.7143,3.976,1.9183,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,10,5,0,1,1,0,0,3,0,0,0,0,0.0,0.7778,3.7542,2.9219,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
28,13,2,0,3,0,0,0,3,0,0,0,0,0.5357,0.1786,3.8154,3.027,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
32,12,7,0,4,0,0,0,3,0,0,0,0,0.4375,0.2812,3.9917,2.8554,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
30,13,10,0,3,0,0,0,4,0,0,0,0,0.3667,0.3667,4.0817,2.8151,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
30,15,2,0,3,0,0,0,3,0,0,0,0,0.5667,0.1667,3.7111,2.7899,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
36,6,7,10,1,0,0,0,3,1,0,0,1,0.0,0.8056,4.1835,2.2516,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
31,11,7,0,4,0,0,0,3,0,0,0,0,0.4194,0.2903,3.8732,2.4131,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
21,2,5,0,2,0,0,0,3,0,0,0,0,0.0,0.7143,3.6538,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
34,8,14,0,1,0,0,0,4,0,0,0,0,0.0,0.8235,3.8781,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
28,3,0,12,1,0,0,0,2,1,0,0,1,0.0,0.7857,4.0661,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
34,14,7,0,4,0,0,0,3,0,0,0,0,0.4706,0.2647,3.962,2.6456,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
42,11,19,0,1,1,0,0,5,0,0,0,0,0.0,0.8095,4.2165,2.914,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,14,2,0,3,0,0,0,3,0,0,0,0,0.5517,0.1724,3.7194,2.4138,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
84,22,47,0,2,6,0,0,4,0,0,0,0,0.2381,0.6071,4.6485,3.8797,0,1,0,0,0,0,0,0,0,1,1,0,0,-1
29,11,6,0,1,0,0,0,3,0,0,0,0,0.0,0.8276,3.7883,2.8454,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,3,14,0,1,0,0,0,4,0,0,0,0,0.1724,0.6207,4.2802,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
31,11,5,0,1,0,0,0,3,0,0,0,0,0.0,0.8387,4.1715,3.0272,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
47,9,26,0,1,1,0,0,6,0,0,0,0,0.0,0.8085,4.275,2.281,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
42,7,12,0,2,0,0,0,4,0,0,0,0,0.0,0.8333,4.1276,2.1281,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
30,5,13,0,1,0,0,0,4,0,0,0,0,0.0,0.8,3.9899,1.9219,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,7,8,0,1,0,0,0,3,0,0,0,0,0.0,0.8148,4.0043,2.8074,0,1,0,0,0,0,0,0,0,1,1,0,0,-1
20,3,6,0,1,0,0,0,3,0,0,0,0,0.0,0.75,3.6464,1.585,0,1,0,0,0,0,0,0,0,1,1,0,0,-1
37,15,15,0,4,0,0,0,4,0,0,0,0,0.3514,0.4054,3.99,2.5493,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
19,3,4,0,1,0,0,0,3,0,0,0,0,0.0,0.7368,3.6819,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,5,9,0,2,0,0,0,4,0,0,0,0,0.0,0.7586,3.9094,1.371,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
41,9,20,0,1,0,0,0,4,0,0,0,0,0.0,0.8537,3.946,2.7255,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
29,13,9,0,3,0,0,0,4,0,0,0,0,0.3793,0.3448,3.9783,2.8151,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
79,20,45,0,2,4,0,0,4,0,0,0,0,0.3038,0.557,4.7515,3.3842,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
27,13,7,0,3,0,0,0,3,0,0,0,0,0.3704,0.3704,4.0784,2.8151,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
27,13,2,0,3,0,0,0,3,0,0,0,0,0.5185,0.1852,3.8282,3.027,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
44,6,26,0,1,1,0,0,6,0,0,0,0,0.0227,0.7727,4.3454,2.585,0,1,0,0,0,0,1,0,0,0,0,0,0,-1
39,16,11,0,1,0,0,0,4,0,0,0,0,0.0,0.8462,4.2723,3.625,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
